,apperences,freq
skin,5.0,0.03506311360448808
comfort,5.0,0.03506311360448808
bouquet,5.0,0.03506311360448808
petal,4.0,0.028050490883590466
loaf,4.0,0.028050490883590466
section,4.0,0.028050490883590466
kool-aid,4.0,0.028050490883590466
hock,4.0,0.028050490883590466
pierogy,4.0,0.028050490883590466
burger,4.0,0.028050490883590466
sticker,4.0,0.028050490883590466
ouzo,4.0,0.028050490883590466
cone,4.0,0.028050490883590466
coating,4.0,0.028050490883590466
harina,4.0,0.028050490883590466
mozzarella,4.0,0.028050490883590466
surimi,4.0,0.028050490883590466
croissant,4.0,0.028050490883590466
granola,4.0,0.028050490883590466
chabli,4.0,0.028050490883590466
palm,4.0,0.028050490883590466
protein,4.0,0.028050490883590466
cheddar,4.0,0.028050490883590466
part,4.0,0.028050490883590466
sumaq,4.0,0.028050490883590466
garni,4.0,0.028050490883590466
fresco,4.0,0.028050490883590466
amino,4.0,0.028050490883590466
sweetcorn,4.0,0.028050490883590466
kumara,4.0,0.028050490883590466
whey,4.0,0.028050490883590466
swede,4.0,0.028050490883590466
tenderizer,4.0,0.028050490883590466
suet,4.0,0.028050490883590462
nugget,4.0,0.028050490883590462
certo,4.0,0.028050490883590462
spearmint,4.0,0.028050490883590462
tapenade,4.0,0.028050490883590462
bud,4.0,0.028050490883590462
squid,4.0,0.028050490883590462
7-up,3.0,0.02103786816269285
shoyu,3.0,0.02103786816269285
kiss,3.0,0.02103786816269285
bitter,3.0,0.02103786816269285
string,3.0,0.02103786816269285
verbena,3.0,0.02103786816269285
venison,3.0,0.02103786816269285
enhancer,3.0,0.02103786816269285
gumdrop,3.0,0.02103786816269285
teabag,3.0,0.02103786816269285
quarter,3.0,0.02103786816269285
octopu,3.0,0.02103786816269285
head,3.0,0.02103786816269285
cane,3.0,0.02103786816269285
chervil,3.0,0.02103786816269285
fryer,3.0,0.021037868162692847
fudge,3.0,0.021037868162692847
capicola,3.0,0.021037868162692847
port,3.0,0.021037868162692847
crema,3.0,0.021037868162692847
flounder,3.0,0.021037868162692847
boil,3.0,0.021037868162692847
jel,3.0,0.021037868162692847
frisee,3.0,0.021037868162692847
product,3.0,0.021037868162692847
twin,3.0,0.021037868162692847
cornichon,3.0,0.021037868162692847
steak-um,3.0,0.021037868162692847
pepita,3.0,0.021037868162692847
oxtail,3.0,0.021037868162692847
lavender,3.0,0.021037868162692847
cassi,3.0,0.021037868162692847
bocconcini,3.0,0.021037868162692847
licorice,3.0,0.021037868162692847
bubble,3.0,0.021037868162692847
blackberrie,3.0,0.021037868162692847
gingersnap,3.0,0.021037868162692847
limeade,3.0,0.021037868162692847
guava,2.0,0.014025245441795233
queso,2.0,0.014025245441795233
roe,2.0,0.014025245441795233
parmigiano,2.0,0.014025245441795233
mesclun,2.0,0.014025245441795233
whisky,2.0,0.014025245441795233
orecchiette,2.0,0.014025245441795233
cavatelli,2.0,0.014025245441795233
shake-n-bake,2.0,0.014025245441795233
radiatore,2.0,0.014025245441795233
mortadella,2.0,0.014025245441795233
sucanat,2.0,0.014025245441795233
goya,2.0,0.014025245441795233
kirsch,2.0,0.014025245441795233
sole,2.0,0.014025245441795233
liquid,2.0,0.014025245441795233
tripe,2.0,0.014025245441795233
frankfurter,2.0,0.014025245441795233
mulberry,2.0,0.014025245441795233
alcohol,2.0,0.014025245441795233
pack,2.0,0.014025245441795233
tzatziki,2.0,0.014025245441795233
cut,2.0,0.014025245441795233
galangal,2.0,0.014025245441795233
aubergine,2.0,0.014025245441795233
groat,2.0,0.014025245441795233
kumquat,2.0,0.014025245441795233
ricotta,2.0,0.014025245441795233
campari,2.0,0.014025245441795233
batter,2.0,0.014025245441795233
poultry,2.0,0.014025245441795233
eggnog,2.0,0.014025245441795233
strand,2.0,0.014025245441795233
tasso,2.0,0.014025245441795233
shortcake,2.0,0.014025245441795233
wash,2.0,0.014025245441795233
snail,2.0,0.014025245441795233
snapper,2.0,0.014025245441795233
chamomile,2.0,0.014025245441795233
muesli,2.0,0.014025245441795233
cucuzza,2.0,0.014025245441795233
coke,2.0,0.014025245441795233
fenugreek,2.0,0.014025245441795233
lychee,2.0,0.014025245441795233
challah,2.0,0.014025245441795233
calamari,2.0,0.014025245441795233
snack,2.0,0.014025245441795233
gallo,2.0,0.014025245441795233
matzoh,2.0,0.014025245441795233
fontina,2.0,0.014025245441795233
tempeh,2.0,0.014025245441795233
disco,2.0,0.014025245441795233
honeydew,2.0,0.014025245441795233
berbere,2.0,0.014025245441795233
rabe,2.0,0.014025245441795233
plank,2.0,0.014025245441795233
vegemite,2.0,0.014025245441795233
sure-jell,2.0,0.014025245441795233
giardiniera,2.0,0.014025245441795233
panir,2.0,0.014025245441795233
pomegranate,2.0,0.014025245441795233
kis,2.0,0.014025245441795233
fatback,2.0,0.014025245441795233
chayote,2.0,0.014025245441795233
flavor,2.0,0.014025245441795233
celeriac,2.0,0.014025245441795233
casing,2.0,0.014025245441795233
meatloaf,2.0,0.014025245441795233
drummette,2.0,0.014025245441795233
shortbread,2.0,0.014025245441795233
ditalini,2.0,0.014025245441795233
vert,2.0,0.014025245441795233
bas,2.0,0.014025245441795233
leche,2.0,0.014025245441795233
applejack,2.0,0.014025245441795233
low,2.0,0.014025245441795233
macadamia,2.0,0.014025245441795233
sel,2.0,0.014025245441795233
tomatoe,2.0,0.014025245441795233
tostada,2.0,0.014025245441795233
epazote,2.0,0.014025245441795233
fruitcake,1.0,0.007012622720897616
nose,1.0,0.007012622720897616
peppermint,1.0,0.007012622720897616
pati,1.0,0.007012622720897616
tendril,1.0,0.007012622720897616
baharat,1.0,0.007012622720897616
chapati,1.0,0.007012622720897616
copha,1.0,0.007012622720897616
romana,1.0,0.007012622720897616
veg-all,1.0,0.007012622720897616
basque,1.0,0.007012622720897616
claw,1.0,0.007012622720897616
pollen,1.0,0.007012622720897616
spirulina,1.0,0.007012622720897616
ajwain,1.0,0.007012622720897616
sauterne,1.0,0.007012622720897616
hing,1.0,0.007012622720897616
psyllium,1.0,0.007012622720897616
rapini,1.0,0.007012622720897616
scallopini,1.0,0.007012622720897616
punch,1.0,0.007012622720897616
crawfish,1.0,0.007012622720897616
wasabi,1.0,0.007012622720897616
worm,1.0,0.007012622720897616
chowder,1.0,0.007012622720897616
melt,1.0,0.007012622720897616
morel,1.0,0.007012622720897616
wheel,1.0,0.007012622720897616
maggi,1.0,0.007012622720897616
nibble,1.0,0.007012622720897616
loquat,1.0,0.007012622720897616
channa,1.0,0.007012622720897616
tarhana,1.0,0.007012622720897616
kefalotyri,1.0,0.007012622720897616
pluck,1.0,0.007012622720897616
packet,1.0,0.007012622720897616
needle,1.0,0.007012622720897616
brie,1.0,0.007012622720897616
quahog,1.0,0.007012622720897616
chiffonade,1.0,0.007012622720897616
solid,1.0,0.007012622720897616
dukkah,1.0,0.007012622720897616
